Invoice Number,Vendor Tax ID,Invoice Item,Total,Date
738079,IT145632,Professional Services,162662 CAD,1/18/2018
382272,RO254678,IT Support,142684 CAD,1/14/2018
860712,IT213456,Beverages and Catering,146245 EUR,1/7/2018
363136,DE763212,Waste management services,344396 CAD,0000-00-00
217376,RO094782,Concierge Services,61750.8 CAD,1/7/2018
568313,RO345879,Beverages and Catering,316574 CAD,1/8/2018
619914,IT213456,Waste management services,97959.6 EUR,1/15/2018
195949,DE325476,Various paper supplies,173651 CAD,1/7/2018
527896,RO892123,Various paper supplies,107694 CAD,1/17/2018
122397,RO345879,Concierge Services,100699 EUR,0000-00-00
670770,RO345879,Professional Services,348875 RON,1/28/2018
523366,FR065748,Concierge Services,307862 CAD,1/16/2018
930081,RO345879,Various paper supplies,257666 USD,1/16/2018
189647,FR121212,Various paper supplies,68877.6 RON,1/16/2018
935990,IT213456,Various paper supplies,68421.6 RON,1/15/2018
463870,IT145632,Waste management services,280726 USD,1/23/2018
342224,RO345879,Professional Services,1021.2 EUR,1/2/2018
178778,RO094782,Various paper supplies,293020 RON,2/17/2018
356969,RO345879,Beverages and Catering,255326 EUR,2/11/2018
516026,RO254678,Various paper supplies,140510 USD,0000-00-00
581351,IT754893,Professional Services,136384 RON,2/21/2018
197966,FR121212,IT Support,172158 EUR,2/15/2018
616732,DE325476,Waste management services,114926 USD,2/6/2018
745909,DE763212,Professional Services,175506 USD,2/19/2018
766586,RO892123,Beverages and Catering,235252 CAD,2/6/2018
320333,RO892123,Beverages and Catering,359168 EUR,2/14/2018
724328,RO874231,Professional Services,177518 EUR,2/22/2018
136706,FR329083,Various paper supplies,183908 CAD,2/19/2018
611061,FR453231,Beverages and Catering,223163 EUR,2/5/2018
718167,FR453231,Waste management services,322382 RON,2/1/2018
776770,FR065748,IT Support,216877 CAD,2/23/2018
884381,FR065748,Waste management services,21831.6 EUR,2/17/2018
333632,DE763212,IT Support,226792 CAD,2/10/2018
242292,FR329083,IT Support,62258.4 RON,2/9/2018
117731,DE325476,Professional Services,345120 EUR,2/9/2018
480040,FR453231,Concierge Services,263042 RON,3/28/2018
342988,IT754893,Waste management services,44391.6 RON,0000-00-00
895269,DE763212,Concierge Services,54058.8 EUR,3/11/2018
940042,IT754893,Beverages and Catering,296195 CAD,3/6/2018
646865,FR453231,Various paper supplies,313973 USD,3/28/2018
200572,FR065748,Concierge Services,335328 USD,0000-00-00
248631,FR121212,Beverages and Catering,14502 RON,3/3/2018
942937,RO345879,Waste management services,255059 CAD,0000-00-00
419366,RO254678,Waste management services,289748 RON,3/25/2018
206485,DE325476,Concierge Services,162865 EUR,3/2/2018
490343,RO345879,Waste management services,355427 RON,3/17/2018
324811,IT213456,Various paper supplies,277438 CAD,3/8/2018
638771,FR453231,Concierge Services,70832.4 EUR,3/6/2018
930873,DE325476,Concierge Services,356041 EUR,3/7/2018
873798,IT213456,Concierge Services,103074 CAD,3/14/2018
609590,FR329083,Concierge Services,135692 RON,3/20/2018
288802,FR065748,Professional Services,114626 USD,3/11/2018
174340,DE987564,Concierge Services,246935 RON,3/17/2018
171114,FR329083,IT Support,298549 CAD,3/15/2018
836513,FR329083,Beverages and Catering,92400 EUR,4/24/2018
239675,RO254678,IT Support,338483 RON,4/4/2018
171554,RO254678,Waste management services,251996 USD,4/2/2018
184692,DE325476,Professional Services,23373.6 EUR,4/7/2018
375357,RO345879,Professional Services,221508 USD,4/9/2018
658065,DE325476,Professional Services,302641 USD,4/19/2018
194101,RO892123,Various paper supplies,243834 RON,4/21/2018
910093,IT213456,IT Support,309436 RON,4/18/2018
971220,IT213456,Various paper supplies,113569 USD,4/21/2018
926330,IT145632,IT Support,247220 CAD,4/28/2018
671015,IT754893,Concierge Services,131537 USD,4/11/2018
966822,IT754893,Beverages and Catering,289818 CAD,4/20/2018
126065,IT754893,IT Support,98010 EUR,4/9/2018
609038,DE987564,Various paper supplies,267545 USD,0000-00-00
349490,RO892123,Waste management services,35426.4 EUR,4/27/2018
624433,FR065748,Beverages and Catering,189202 RON,4/28/2018
916379,RO094782,Various paper supplies,257510 CAD,4/5/2018
599827,IT145632,Various paper supplies,105040 EUR,4/3/2018
840212,FR065748,Beverages and Catering,19846.8 RON,5/16/2018
903075,FR065748,Various paper supplies,189121 CAD,5/9/2018
832500,DE763212,Beverages and Catering,353668 RON,5/22/2018
339893,IT213456,Various paper supplies,148062 CAD,5/6/2018
645643,FR453231,IT Support,141649 EUR,5/8/2018
500426,RO254678,IT Support,83932.8 EUR,5/14/2018
647095,DE987564,Professional Services,10896 RON,5/17/2018
934766,RO874231,Concierge Services,327342 RON,5/16/2018
477116,DE325476,Beverages and Catering,141586 RON,5/19/2018
721291,DE325476,Waste management services,239923 CAD,5/8/2018
420223,DE987564,Beverages and Catering,225089 USD,5/27/2018
823998,RO094782,Waste management services,209214 CAD,5/11/2018
586958,DE987564,Beverages and Catering,258611 CAD,5/26/2018
726454,RO892123,Waste management services,220361 CAD,5/12/2018
782264,RO874231,Concierge Services,36957.6 CAD,5/21/2018
893766,IT754893,Various paper supplies,209698 CAD,6/1/2018
695621,RO892123,IT Support,261822 RON,6/26/2018
803936,IT213456,Beverages and Catering,143299 USD,6/24/2018
232349,FR065748,Concierge Services,192020 RON,6/7/2018
138023,IT754893,Concierge Services,210485 EUR,6/19/2018
317055,DE325476,Concierge Services,64010.4 RON,6/7/2018
275872,FR453231,Various paper supplies,23024.4 USD,6/16/2018
691877,FR329083,Various paper supplies,62040 USD,6/21/2018
226034,IT145632,Waste management services,79582.8 EUR,6/22/2018
999530,DE987564,IT Support,323442 EUR,6/3/2018
693062,FR329083,IT Support,281514 EUR,6/12/2018
460706,RO254678,Beverages and Catering,308119 RON,6/20/2018
778078,FR121212,Concierge Services,301854 EUR,6/19/2018
575784,RO254678,Concierge Services,236441 RON,7/19/2018
537894,DE987564,Concierge Services,252210 CAD,7/21/2018
635182,DE325476,Beverages and Catering,349786 CAD,7/16/2018
154428,IT754893,IT Support,255821 USD,7/8/2018
840047,RO874231,Concierge Services,344602 EUR,7/6/2018
755345,RO892123,Various paper supplies,55837.2 EUR,7/6/2018
221390,FR121212,Professional Services,219829 USD,7/20/2018
865411,IT754893,Various paper supplies,272753 EUR,7/20/2018
301827,FR329083,Beverages and Catering,233957 CAD,7/23/2018
690050,DE987564,Professional Services,315526 CAD,7/6/2018
778384,RO123456,Concierge Services,51756 RON,7/8/2018
688396,RO254678,Professional Services,144319 USD,7/18/2018
791811,RO892123,Professional Services,238423 EUR,0000-00-00
429026,FR121212,Professional Services,136392 CAD,7/23/2018
839837,IT213456,Various paper supplies,199739 USD,7/6/2018
741953,RO345879,Beverages and Catering,97774.8 EUR,7/1/2018
995860,DE987564,Concierge Services,46441.2 CAD,7/28/2018
634306,RO892123,Beverages and Catering,157760 USD,7/21/2018
331351,DE987564,Concierge Services,146730 CAD,8/14/2018
146543,RO094782,Various paper supplies,305693 RON,8/11/2018
347359,DE325476,Waste management services,104350 RON,8/26/2018
792675,IT754893,IT Support,303434 EUR,8/3/2018
371129,DE763212,Concierge Services,276089 EUR,8/22/2018
200589,DE987564,Beverages and Catering,319259 USD,0000-00-00
101227,RO254678,Waste management services,319714 CAD,8/25/2018
436098,FR329083,Professional Services,45708 CAD,8/27/2018
272400,IT213456,IT Support,70298.4 RON,8/1/2018
358284,RO892123,IT Support,166386 EUR,8/27/2018
141659,RO094782,Concierge Services,137256 USD,8/3/2018
490294,DE325476,Professional Services,284678 RON,0000-00-00
648581,RO123456,Professional Services,79532.4 RON,8/28/2018
867626,FR329083,Waste management services,72669.6 CAD,8/21/2018
282884,DE325476,IT Support,289322 CAD,8/21/2018
815288,FR065748,Various paper supplies,326399 RON,9/17/2018
951072,RO094782,Various paper supplies,234575 RON,9/24/2018
654485,IT145632,Beverages and Catering,346262 EUR,9/3/2018
948128,RO123456,IT Support,328583 RON,9/8/2018
816467,IT145632,IT Support,184836 EUR,9/26/2018
781817,RO123456,IT Support,204053 RON,9/8/2018
798523,RO874231,Concierge Services,69382.8 RON,9/26/2018
370282,FR453231,Beverages and Catering,166998 USD,9/20/2018
599100,RO094782,Beverages and Catering,112757 EUR,9/15/2018
334702,DE987564,IT Support,236771 USD,9/6/2018
168887,RO892123,Concierge Services,350404 EUR,9/5/2018
399944,RO345879,IT Support,79129.2 USD,9/6/2018
679131,FR121212,IT Support,174875 CAD,10/3/2018
286509,RO094782,Beverages and Catering,255156 USD,10/1/2018
672261,DE325476,Beverages and Catering,192674 CAD,10/1/2018
510472,RO094782,Various paper supplies,79063.2 CAD,10/26/2018
873565,IT145632,Professional Services,299816 EUR,10/27/2018
779758,FR329083,Waste management services,292393 RON,10/12/2018
246248,RO892123,Various paper supplies,36129.6 USD,10/12/2018
343289,FR453231,IT Support,113207 EUR,10/17/2018
777668,RO874231,Waste management services,113023 EUR,10/9/2018
620616,RO094782,Waste management services,201731 RON,10/12/2018
872279,IT213456,Waste management services,56366.4 EUR,10/28/2018
377627,FR453231,Beverages and Catering,251024 EUR,10/27/2018
166591,RO892123,Beverages and Catering,28867.2 CAD,10/21/2018
113928,RO094782,Concierge Services,167134 EUR,10/12/2018
891228,RO254678,IT Support,220955 USD,10/16/2018
341710,RO345879,Waste management services,345817 RON,10/16/2018
228990,DE987564,Concierge Services,57340.8 EUR,10/7/2018
558378,FR121212,Professional Services,71503.2 EUR,10/2/2018
820710,RO123456,Waste management services,150511 CAD,10/20/2018
304779,RO892123,Waste management services,263038 EUR,11/22/2018
187731,IT213456,Professional Services,246223 USD,11/14/2018
822287,RO123456,IT Support,163723 RON,11/3/2018
624561,RO254678,Professional Services,61083.6 USD,11/20/2018
569643,DE325476,Waste management services,7742.4 RON,11/23/2018
183102,FR453231,Beverages and Catering,47805.6 CAD,11/5/2018
775664,FR453231,Concierge Services,216500 EUR,0000-00-00
711915,FR329083,IT Support,48130.8 EUR,11/6/2018
241593,IT213456,Various paper supplies,357024 EUR,11/21/2018
685561,RO123456,Concierge Services,210041 CAD,11/4/2018
482558,IT213456,Various paper supplies,322505 RON,11/23/2018
369621,DE763212,Professional Services,275489 RON,11/15/2018
164150,RO123456,Waste management services,29755.2 RON,12/21/2018
887267,RO254678,Waste management services,296309 USD,12/28/2018
300891,FR065748,Concierge Services,132970 CAD,12/23/2018
294275,RO123456,Waste management services,66363.6 EUR,12/2/2018
352780,IT754893,Various paper supplies,107633 USD,12/17/2018
176676,DE987564,Concierge Services,324404 USD,12/5/2018
793148,IT145632,Beverages and Catering,291550 EUR,12/20/2018
615796,DE987564,Various paper supplies,260422 USD,12/2/2018
367308,DE987564,IT Support,123968 EUR,12/13/2018
325714,RO123456,Beverages and Catering,57638.4 RON,12/24/2018
516765,IT145632,Concierge Services,77832 USD,12/13/2018
361721,RO874231,IT Support,73696.8 CAD,12/27/2018
505278,RO094782,Beverages and Catering,87436.8 RON,12/12/2018
512272,IT145632,Professional Services,151390 CAD,12/6/2018
854423,FR329083,Waste management services,154505 CAD,12/14/2018
603614,FR453231,IT Support,3547.2 EUR,12/15/2018
846296,RO892123,Concierge Services,330134 RON,12/14/2018
226878,RO094782,Beverages and Catering,9549.6 EUR,12/15/2018
